# oz_acc1: эффект разгона ставок. ДО 2026-07-27..2026-08-07 (12 дн) / ПОСЛЕ 2026-08-09..2026-08-16 (7 дн, нет 13.08); органика неделя 2026-07-27 → 2026-08-03; ставки на 2026-08-17; маржа = margin_own_live − 10.6 п.п.; построено 2026-08-17 — РАБОТАЕТ, можно дальше
sku,offer_id,name,bid_start,bid_target,bid_current,status,grp,n_steps,first_step,last_step,pre_views,pre_clicks,pre_spend,pre_ord,pre_rev,pre_bid,pre_days,post_views,post_clicks,post_spend,post_ord,post_rev,post_bid,post_days,bid_now,org_views_pre,org_ord_pre,org_gmv_pre,org_pos_pre,org_views_post,org_ord_post,org_gmv_post,org_pos_post,sale_rev_pre,sale_rev_post,rev90,qty90,our_price,margin_own_live,verdict,is_archived,pre_views_d,post_views_d,pre_clicks_d,post_clicks_d,pre_spend_d,post_spend_d,pre_ord_d,post_ord_d,pre_rev_d,post_rev_d,d_clicks,d_spend,d_views,x_clicks,bid_up_fact,post_drr,pre_drr,post_cpc,margin_safe,cr_bucket,ceiling_safe,bid_ref,headroom,d_org_views,d_org_pos,verdict_ramp,why
930617217,2392,"Картриджи TN-423 для принтеров brother dcp-l8410cdw, brother hl-l8360cdw, brother hl, mfc-l8690cdw",9.0,60.0,33.83,running,A. реклама тянет,10,2026-08-08,2026-08-13,653,11,148.35,0.0,0.0,16.3750000000000000,12,319,6,206.65,3.0,24141.0,21.1516666666666667,6,33.83,105,0,0,40.0000000000000000,0,0,0,,8517.0000,51089.0000,119354.0000,15,,,,False,54.417,45.571,0.917,0.857,12.362,29.521,0.0,0.429,0.0,3448.714,-0.06,17.16,-8.85,0.93,4.8,0.9,,34.4,,0.06,,33.83,,-105.0,,WIN,3 рекл. заказов на 24 141 ₽; ДРР 0.9 %
2509753251,6282,"Картриджи C-EXV65 для принтеров Canon imageRUNNER C3326, iR C3326i",12.0,60.0,35.43,running,A. реклама тянет,15,2026-08-08,2026-08-13,978,24,372.33,2.0,40444.0,18.5583333333333333,12,635,15,175.44,1.0,21536.0,24.4557142857142857,7,35.43,280,0,0,31.0000000000000000,305,0,22382,26.0000000000000000,40444.0000,85282.0000,1095229.0000,57,22487.0,26.35,нет_индекса,False,81.5,90.714,2.0,2.143,31.027,25.063,0.167,0.143,3370.333,3076.571,0.143,-5.96,9.21,1.07,5.9,0.8,0.9,11.7,15.8,0.02,48.3,35.43,12.9,25.0,-5.0,WIN,1 рекл. заказов на 21 536 ₽; ДРР 0.8 %; до потолка ещё 12.9 ₽
870872512,2240,"Картриджи TN-241-TN-245 для принтеров Brother DCP-9020cdw, HL-3140cw, HL 3150, HL3170CDW, MFC-9140, MFC-9330",14.0,60.0,32.21,running,A. реклама тянет,10,2026-08-08,2026-08-13,1184,25,305.71,3.0,19385.0,18.3363636363636364,12,695,11,158.83,1.0,7523.0,23.1591666666666667,7,32.21,304,0,7313,34.0000000000000000,224,0,0,30.0000000000000000,12495.0000,14936.0000,215705.0000,34,,,,False,98.667,99.286,2.083,1.571,25.476,22.69,0.25,0.143,1615.417,1074.714,-0.512,-2.79,0.62,0.75,4.8,2.1,1.6,14.4,,0.06,,32.21,,-80.0,-4.0,WIN,1 рекл. заказов на 7 523 ₽; ДРР 2.1 %
863388173,0005,"Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480, самсунг sl-c480w",10.0,32.0,22.54,running,A. реклама тянет,10,2026-08-08,2026-08-13,896,41,390.65,1.0,8224.0,13.1000000000000000,12,454,15,146.48,3.0,24510.0,15.2677777777777778,6,22.54,241,0,5297,40.0000000000000000,0,0,0,,0,24510.0000,188918.0000,24,8337.0,29.15,нет_индекса,False,74.667,64.857,3.417,2.143,32.554,20.926,0.083,0.429,685.333,3501.429,-1.274,-11.63,-9.81,0.63,2.2,0.6,4.8,9.8,18.5,0.03,33.9,22.54,11.4,-241.0,,WIN,3 рекл. заказов на 24 510 ₽; ДРР 0.6 %; до потолка ещё 11.4 ₽
863431676,0368,"Картриджи CE740A-CE743A для принтеров HP LaserJet CP5220, LJ-CP5225",15.0,50.0,24.16,running,A. реклама тянет,5,2026-08-08,2026-08-13,240,10,181.69,0.0,0.0,16.3750000000000000,12,190,6,143.93,1.0,33668.0,21.5785714285714286,7,24.16,100,0,0,23.0000000000000000,98,0,0,31.0000000000000000,0,67336.0000,482153.0000,16,37673.0,31.04,нет_индекса,False,20.0,27.143,0.833,0.857,15.141,20.561,0.0,0.143,0.0,4809.714,0.024,5.42,7.14,1.03,5.2,0.4,,24.0,20.4,0.02,116.3,24.16,92.1,-2.0,8.0,WIN,1 рекл. заказов на 33 668 ₽; ДРР 0.4 %; до потолка ещё 92.1 ₽
1510950358,5388,"Картриджи 055H для принтеров Canon i-SENSYS LBP-662, LBP 663, MF 741, MF 743",8.0,26.0,12.89,running,A. реклама тянет,5,2026-08-08,2026-08-13,432,9,43.64,2.0,27288.0,8.7333333333333333,12,212,11,143.89,1.0,12460.0,11.5128571428571429,7,12.89,197,0,7348,36.0000000000000000,149,0,0,42.0000000000000000,0,12460.0000,160617.2400,13,13128.0,32.68,нет_индекса,False,36.0,30.286,0.75,1.571,3.637,20.556,0.167,0.143,2274.0,1780.0,0.821,16.92,-5.71,2.09,2.8,1.2,0.2,13.1,22.1,0.02,44.8,12.89,31.9,-48.0,6.0,WIN,1 рекл. заказов на 12 460 ₽; ДРР 1.2 %; до потолка ещё 31.9 ₽
1769491634,5773,"Картридж 070 для принтеров Canon i-SENSYS MF461dw, LBP243dw, LBP246dw, MF463dw, MF465dw",12.0,38.0,19.33,running,A. реклама тянет,5,2026-08-08,2026-08-13,365,14,139.63,2.0,6629.0,13.1000000000000000,12,251,6,111.17,1.0,3300.0,17.2642857142857143,7,19.33,119,0,2325,66.0000000000000000,206,0,2402,40.0000000000000000,3309.0000,3300.0000,16707.0000,5,3888.0,30.65,нет_индекса,False,30.417,35.857,1.167,0.857,11.636,15.881,0.167,0.143,552.417,471.429,-0.31,4.25,5.44,0.73,4.2,3.4,2.1,18.5,20.0,0.04,23.4,19.33,4.1,87.0,-26.0,WIN,1 рекл. заказов на 3 300 ₽; ДРР 3.4 %; до потолка ещё 4.1 ₽
1759807965,5767,"Картридж для HP Color LaserJet Pro MFP 4303fdw, 4303dw, 4203cdn",15.0,28.0,28.0,"done,running",A. реклама тянет,8,2026-08-08,2026-08-13,549,13,145.77,2.0,13657.0,20.1958333333333333,12,478,6,109.39,1.0,6550.0,24.1438461538461538,7,28.0,185,0,3950,57.0000000000000000,253,0,0,29.0000000000000000,6891.0000,6550.0000,88181.5400,19,7084.0,29.95,нет_индекса,False,45.75,68.286,1.083,0.857,12.148,15.627,0.167,0.143,1138.083,935.714,-0.226,3.48,22.54,0.79,3.9,1.7,1.1,18.2,19.4,0.03,30.5,28.0,2.5,68.0,-28.0,WIN,1 рекл. заказов на 6 550 ₽; ДРР 1.7 %; до потолка ещё 2.5 ₽
863431732,0375,"Картриджи 716 для принтеров Canon i-SENSYS LBP-5050, MF-8030CN, MF8040CN, MF-8050CN, MF8080CW",8.0,18.0,12.89,running,A. реклама тянет,5,2026-08-08,2026-08-13,278,9,39.89,2.0,9534.0,8.7333333333333333,12,250,11,97.84,1.0,4513.0,11.2833333333333333,6,12.89,53,0,0,67.0000000000000000,0,0,0,,5071.0000,4513.0000,14655.0000,3,5071.0,27.52,нет_индекса,False,23.167,35.714,0.75,1.571,3.324,13.977,0.167,0.143,794.5,644.714,0.821,10.65,12.55,2.09,2.6,2.2,0.4,8.9,16.9,0.03,18.1,12.89,5.2,-53.0,,WIN,1 рекл. заказов на 4 513 ₽; ДРР 2.2 %; до потолка ещё 5.2 ₽
870872414,2266,"Картриджи TK-590 для принтеров m6026cdn, kyocera m6526cdn",8.0,40.0,19.33,running,A. реклама тянет,10,2026-08-08,2026-08-13,91,4,36.32,3.0,41985.0,11.5764705882352941,11,116,4,74.88,1.0,14070.0,14.1016666666666667,6,19.33,52,0,0,106.0000000000000000,29,0,8352,49.0000000000000000,14467.0000,14070.0000,101617.0000,9,14467.0,34.77,нет_индекса,False,7.583,16.571,0.333,0.571,3.027,10.697,0.25,0.143,3498.75,2010.0,0.238,7.67,8.99,1.71,2.5,0.5,0.1,18.7,24.2,0.02,55.5,19.33,36.2,-23.0,-57.0,WIN,1 рекл. заказов на 14 070 ₽; ДРР 0.5 %; до потолка ещё 36.2 ₽
651929068,53354,Картридж для Canon i-SENSYS MF4018,10.0,21.0,19.33,running,A. реклама тянет,10,2026-08-08,2026-08-13,150,4,48.40,0.0,0.0,11.9111111111111111,12,127,4,58.50,1.0,2721.0,16.0509090909090909,7,19.33,61,0,0,47.0000000000000000,58,0,0,61.0000000000000000,2199.0000,2721.0000,17886.0000,12,,,,False,12.5,18.143,0.333,0.571,4.033,8.357,0.0,0.143,0.0,388.714,0.238,4.32,5.64,1.71,4.1,2.1,,14.6,,0.06,,19.33,,-3.0,14.0,WIN,1 рекл. заказов на 2 721 ₽; ДРР 2.1 %
1220706685,5243,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",8.0,26.0,12.89,running,B. продаёт сама,5,2026-08-08,2026-08-13,244,3,23.21,2.0,26320.0,8.7333333333333333,12,267,11,57.36,2.0,26743.0,11.2833333333333333,6,12.89,62,0,0,38.0000000000000000,0,0,0,,26951.0000,26743.0000,90081.0000,7,,,,False,20.333,38.143,0.25,1.571,1.934,8.194,0.167,0.286,2193.333,3820.429,1.321,6.26,17.81,6.28,2.6,0.2,0.1,5.2,,0.06,,12.89,,-62.0,,WIN,2 рекл. заказов на 26 743 ₽; ДРР 0.2 %
1987412088,5626,"Картридж TK-5380K для принтеров Kyocera ECOSYS PA4000cx, MA4000cifx, MA4000cix, MA4000cifx",15.0,50.0,24.16,running,A. реклама тянет,5,2026-08-08,2026-08-13,315,6,100.38,1.0,5019.0,16.3750000000000000,12,82,2,50.75,2.0,19966.0,20.5460000000000000,5,24.16,157,0,0,29.0000000000000000,135,0,0,34.0000000000000000,5019.0000,19966.0000,92700.5000,20,10187.0,39.42,нет_индекса,False,26.25,11.714,0.5,0.286,8.365,7.25,0.083,0.286,418.25,2852.286,-0.214,-1.12,-14.54,0.57,4.2,0.3,2.0,25.4,28.8,0.02,48.5,24.16,24.3,-22.0,5.0,WIN,2 рекл. заказов на 19 966 ₽; ДРР 0.3 %; до потолка ещё 24.3 ₽
5280119647,5631X2,Комплект тонер-картриджей TK-5440K (2 шт.) на 5200 страниц для принтеров Kyocera ECOSYS MA2100cfx,15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,101,3,47.18,1.0,4457.0,19.6142857142857143,7,21.96,3,0,0,18.0000000000000000,16,0,0,106.0000000000000000,0,4457.0000,4457.0000,1,4368.0,38.69,нет_индекса,False,0.0,14.429,0.0,0.429,0.0,6.74,0.0,0.143,0.0,636.714,0.429,6.74,14.43,,,1.1,,15.7,28.1,0.04,40.3,21.96,18.3,13.0,88.0,WIN,1 рекл. заказов на 4 457 ₽; ДРР 1.1 %; до потолка ещё 18.3 ₽
4451989520,02497,Картридж для Brother MFC-7360NR,8.0,23.0,12.89,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,52,0,0.0,0.0,0.0,8.7200000000000000,10,61,2,38.22,1.0,2185.0,11.5128571428571429,7,12.89,18,0,0,52.0000000000000000,17,0,1443,51.0000000000000000,0,2185.0000,4075.0000,2,2290.0,31.53,нет_индекса,False,4.333,8.714,0.0,0.286,0.0,5.46,0.0,0.143,0.0,312.143,0.286,5.46,4.38,,2.8,1.7,,19.1,20.9,0.04,14.6,12.89,1.7,-1.0,-1.0,WIN,1 рекл. заказов на 2 185 ₽; ДРР 1.7 %; до потолка ещё 1.7 ₽
2994100339,5374,"Картридж 069H для принтеров Canon i-SENSYS LBP673Cdw, MF752Cdw, MF754Cdw черный",15.0,22.0,21.96,running,B. продаёт сама,4,2026-08-10,2026-08-13,0,0,0,0,0,,0,142,4,33.39,1.0,5292.0,19.6142857142857143,7,21.96,37,0,8418,55.0000000000000000,31,0,0,69.0000000000000000,5204.0000,10425.0000,131667.2800,28,5668.0,28.72,нет_индекса,False,0.0,20.286,0.0,0.571,0.0,4.77,0.0,0.143,0.0,756.0,0.571,4.77,20.29,,,0.6,,8.3,18.1,0.03,22.3,21.96,0.3,-6.0,14.0,WIN,1 рекл. заказов на 5 292 ₽; ДРР 0.6 %; до потолка ещё 0.3 ₽
1692504266,5621,Картридж TK-5370K для принтеров Kyocera ECOSYS MA3500cifx черный,10.0,40.0,19.33,running,B. продаёт сама,10,2026-08-08,2026-08-13,148,2,22.85,0.0,0.0,11.9565217391304348,12,147,2,31.61,1.0,4107.0,15.6400000000000000,7,19.33,40,0,0,58.0000000000000000,48,0,0,34.0000000000000000,4019.0000,4107.0000,43047.0000,11,4364.0,30.31,нет_индекса,False,12.333,21.0,0.167,0.286,1.904,4.516,0.0,0.143,0.0,586.714,0.119,2.61,8.67,1.71,3.7,0.8,,15.8,19.7,0.04,25.7,19.33,6.4,8.0,-24.0,WIN,1 рекл. заказов на 4 107 ₽; ДРР 0.8 %; до потолка ещё 6.4 ₽
4451926294,01091,Картридж для Samsung SCX-4500,8.0,29.0,19.33,running,C. в июле не продавалась,10,2026-08-08,2026-08-13,264,6,63.90,0.0,0.0,10.9166666666666667,12,301,2,27.07,2.0,11870.0,14.3885714285714286,7,19.33,68,0,0,73.0000000000000000,48,0,0,58.0000000000000000,0,11870.0000,16159.0000,3,7137.0,30.67,нет_индекса,False,22.0,43.0,0.5,0.286,5.325,3.867,0.0,0.286,0.0,1695.714,-0.214,-1.46,21.0,0.57,3.5,0.2,,13.5,20.1,0.03,32.3,19.33,13.0,-20.0,-15.0,WIN,2 рекл. заказов на 11 870 ₽; ДРР 0.2 %; до потолка ещё 13.0 ₽
1719304223,5698,"Картридж 070H для принтеров LBP243dw, LBP246dw, MF461dw, MF465dw, MF463dw",11.0,36.0,17.71,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,89,0,0.0,0.0,0.0,12.0083333333333333,12,124,2,15.34,1.0,4366.0,15.8200000000000000,7,17.71,15,0,0,132.0000000000000000,12,0,0,62.0000000000000000,0,17194.0000,51056.0000,13,4896.0,28.01,нет_индекса,False,7.417,17.714,0.0,0.286,0.0,2.191,0.0,0.143,0.0,623.714,0.286,2.19,10.3,,3.8,0.4,,7.7,17.4,0.04,24.3,17.71,6.6,-3.0,-70.0,WIN,1 рекл. заказов на 4 366 ₽; ДРР 0.4 %; до потолка ещё 6.6 ₽
3557211110,6786,"Картридж 070H для принтеров Canon i-SENSYS LBP243dw, LBP246dw, MF461dw, MF463dw черный",8.0,40.0,19.33,running,A. реклама тянет,10,2026-08-08,2026-08-13,261,4,44.35,2.0,7016.0,10.9166666666666667,12,196,2,13.56,1.0,3538.0,12.5200000000000000,7,19.33,55,0,0,69.0000000000000000,85,0,0,57.0000000000000000,0,3538.0000,14112.0000,4,4235.0,32.44,нет_индекса,False,21.75,28.0,0.333,0.286,3.696,1.937,0.167,0.143,584.667,505.429,-0.047,-1.76,6.25,0.86,1.6,0.4,0.6,6.8,21.8,0.04,28.5,19.33,9.2,30.0,-12.0,WIN,1 рекл. заказов на 3 538 ₽; ДРР 0.4 %; до потолка ещё 9.2 ₽
864225535,1082,"Картриджи 006R01517-006R01520 для принтеров Xerox WorkCentre 7525, WC 7530, WC-7535, WC 7545",8.0,36.0,12.0,paused,B. продаёт сама,0,,,77,3,42.48,0.0,0.0,10.0869565217391304,12,40,1,8.48,1.0,16954.0,9.0000000000000000,6,12.0,29,0,0,33.0000000000000000,34,0,0,27.0000000000000000,0,16954.0000,58939.0000,4,,,,False,6.417,5.714,0.25,0.143,3.54,1.211,0.0,0.143,0.0,2422.0,-0.107,-2.33,-0.7,0.57,-1.1,0.1,,8.5,,0.06,,12.0,,5.0,-6.0,WIN,1 рекл. заказов на 16 954 ₽; ДРР 0.1 %
652474821,0104,"Картридж CC530A для принтеров HP Color LaserJet CM2320fx, LJ CP2020, LJ-CP2025 черный",8.0,11.0,8.0,paused,B. продаёт сама,0,,,65,1,6.52,0.0,0.0,8.0000000000000000,12,66,1,2.8,1.0,3430.0,8.0000000000000000,7,8.0,18,0,0,38.0000000000000000,15,0,0,30.0000000000000000,0,3430.0000,7618.0000,2,3855.0,25.88,нет_индекса,False,5.417,9.429,0.083,0.143,0.543,0.4,0.0,0.143,0.0,490.0,0.06,-0.14,4.01,1.72,0.0,0.1,,2.8,15.3,0.04,15.9,8.0,7.9,-3.0,-8.0,WIN,1 рекл. заказов на 3 430 ₽; ДРР 0.1 %; до потолка ещё 7.9 ₽
864225106,0992,"Картридж 44469809 для принтеров OKI C511, C310dn, C310n, C330, C330dn, C331, C331dn, C510, C511, C511dn C530 C531 C531dn MC351 MC351dn MC352dn MC561dn MC562dn",8.0,26.0,12.89,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,34,1,9.24,1.0,2640.0,8.7200000000000000,10,89,1,1.0,1.0,2791.0,11.5128571428571429,7,12.89,4,0,0,60.0000000000000000,12,0,0,52.0000000000000000,2640.0000,2791.0000,5431.0000,2,,,,False,2.833,12.714,0.083,0.143,0.77,0.143,0.083,0.143,220.0,398.714,0.06,-0.63,9.88,1.72,2.8,0.0,0.3,1.0,,0.06,,12.89,,8.0,-8.0,WIN,1 рекл. заказов на 2 791 ₽; ДРР 0.0 %
906876718,22262,"Картридж для Lexmark MS312dn, MS312, MS415, MS415dn",8.0,26.0,12.89,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,52,2,10.97,0.0,0.0,8.7272727272727273,11,83,1,1.0,2.0,5830.0,11.5128571428571429,7,12.89,13,0,0,80.0000000000000000,27,0,0,29.0000000000000000,5830.0000,0,8104.0000,3,3470.0,29.38,нет_индекса,False,4.333,11.857,0.167,0.143,0.914,0.143,0.0,0.286,0.0,832.857,-0.024,-0.77,7.52,0.86,2.8,0.0,,1.0,18.8,0.04,19.1,12.89,6.2,14.0,-51.0,WIN,2 рекл. заказов на 5 830 ₽; ДРР 0.0 %; до потолка ещё 6.2 ₽
930609259,0718,"Картриджи 718 для принтеров Canon i-SENSYS LBP7200Cdn, LBP7210Cdn, MF724Cdw, MF728Cdw, MF8330, MF8340Cdn",8.0,26.0,12.89,running,B. продаёт сама,5,2026-08-08,2026-08-13,143,6,6.0,2.0,20906.0,8.7333333333333333,12,47,1,1.0,2.0,21886.0,10.9620000000000000,5,12.89,43,0,6080,35.0000000000000000,0,0,0,,42232.0000,21886.0000,136655.0000,13,10810.0,30.34,нет_индекса,False,11.917,6.714,0.5,0.143,0.5,0.143,0.167,0.286,1742.167,3126.571,-0.357,-0.36,-5.2,0.29,2.2,0.0,0.0,1.0,19.7,0.02,31.9,12.89,19.0,-43.0,,WIN,2 рекл. заказов на 21 886 ₽; ДРР 0.0 %; до потолка ещё 19.0 ₽
906877954,3114,"Картридж LC-669XLBK для принтеров Brother и MFC-J2320, MFC-J2720 черный",9.0,18.0,9.0,paused,B. продаёт сама,0,,,98,2,18.49,0.0,0.0,9.0000000000000000,12,92,0,0.0,1.0,1954.0,9.0000000000000000,7,9.0,13,0,0,67.0000000000000000,24,0,1059,103.0000000000000000,3915.0000,0,14231.0000,8,,,,False,8.167,13.143,0.167,0.0,1.541,0.0,0.0,0.143,0.0,279.143,-0.167,-1.54,4.98,0.0,0.0,0.0,,,,0.06,,9.0,,11.0,36.0,WIN,1 рекл. заказов на 1 954 ₽; ДРР 0.0 %
